,c.name
0,Children & Family Movies
1,Cult Movies
2,Dramas
3,Independent Movies
4,Comedies
5,Romantic Movies
6,Action & Adventure
7,International Movies
8,Documentaries
9,Horror Movies
10,Thrillers
11,International TV Shows
12,Romantic TV Shows
13,TV Comedies
14,Docuseries
15,Sci-Fi & Fantasy
16,Kids' TV
17,TV Dramas
18,TV Thrillers
19,Stand-Up Comedy
20,Crime TV Shows
21,TV Mysteries
22,British TV Shows
23,Music & Musicals
24,Reality TV
25,Spanish-Language TV Shows
26,TV Action & Adventure
27,Anime Features
28,Teen TV Shows
29,Faith & Spirituality
30,Korean TV Shows
31,Science & Nature TV
32,Anime Series
33,LGBTQ Movies
34,TV Horror
35,Movies
36,Stand-Up Comedy & Talk Shows
37,TV Sci-Fi & Fantasy
38,Classic Movies
39,Sports Movies
40,TV Shows
41,Classic & Cult TV
